
---------- Begin Simulation Statistics ----------
simSeconds                                   0.056866                       # Number of seconds simulated (Second)
simTicks                                  56865802000                       # Number of ticks simulated (Tick)
finalTick                                 56865802000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    292.87                       # Real time elapsed on the host (Second)
hostTickRate                                194169446                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     701052                       # Number of bytes of host memory used (Byte)
simInsts                                     48413712                       # Number of instructions simulated (Count)
simOps                                       86500844                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   165310                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     295359                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         56865803                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        97867800                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   917807                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       95089498                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   9045                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             12284757                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          14556347                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 141                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            56766951                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.675086                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.031001                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  25127605     44.26%     44.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   9606426     16.92%     61.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   5516856      9.72%     70.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   4775013      8.41%     79.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   3377281      5.95%     85.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   4807128      8.47%     93.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2529829      4.46%     98.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    813921      1.43%     99.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    212892      0.38%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              56766951                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   80848     24.98%     24.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     24.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     24.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     24.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     24.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     24.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     24.98% # attempts to use FU when none available (Count)
